Month,Industries_luok,Information,value
2007M03,Trade,"Bankruptcies instigated, number of enterprises",46
2007M03,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2007M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2007M03,Other service activities,"Bankruptcies instigated, number of enterprises",36
2007M03,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2007M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",15
2007M04,Construction,"Bankruptcies instigated, number of enterprises",30
2007M04,Trade,"Bankruptcies instigated, number of enterprises",38
2007M04,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2007M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2007M04,Other service activities,"Bankruptcies instigated, number of enterprises",43
2007M04,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2007M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",13
2007M05,Construction,"Bankruptcies instigated, number of enterprises",53
2007M05,Trade,"Bankruptcies instigated, number of enterprises",33
2007M05,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2007M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2007M05,Other service activities,"Bankruptcies instigated, number of enterprises",60
2007M05,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2007M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2007M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2007M06,Construction,"Bankruptcies instigated, number of enterprises",51
2007M06,Trade,"Bankruptcies instigated, number of enterprises",30
2007M06,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2007M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2007M06,Other service activities,"Bankruptcies instigated, number of enterprises",42
2007M06,Industry unknown,"Bankruptcies instigated, number of enterprises",12
2007M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2007M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",8
2007M07,Construction,"Bankruptcies instigated, number of enterprises",29
2007M07,Trade,"Bankruptcies instigated, number of enterprises",18
2007M07,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2007M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2007M07,Other service activities,"Bankruptcies instigated, number of enterprises",34
2007M07,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2007M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2007M08,Construction,"Bankruptcies instigated, number of enterprises",41
2007M08,Trade,"Bankruptcies instigated, number of enterprises",58
2007M08,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2007M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2007M08,Other service activities,"Bankruptcies instigated, number of enterprises",53
2007M08,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2007M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",23
2007M09,Construction,"Bankruptcies instigated, number of enterprises",36
2007M09,Trade,"Bankruptcies instigated, number of enterprises",31
2007M09,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2007M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2007M09,Other service activities,"Bankruptcies instigated, number of enterprises",48
2007M09,Industry unknown,"Bankruptcies instigated, number of enterprises",10
2007M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2007M10,Construction,"Bankruptcies instigated, number of enterprises",36
2007M10,Trade,"Bankruptcies instigated, number of enterprises",47
2007M10,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2007M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2007M10,Other service activities,"Bankruptcies instigated, number of enterprises",46
2007M10,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2007M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2007M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",17
2007M11,Construction,"Bankruptcies instigated, number of enterprises",43
2007M11,Trade,"Bankruptcies instigated, number of enterprises",46
2007M11,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2007M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2007M11,Other service activities,"Bankruptcies instigated, number of enterprises",47
2007M11,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2007M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2007M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",20
2007M12,Construction,"Bankruptcies instigated, number of enterprises",41
2007M12,Trade,"Bankruptcies instigated, number of enterprises",25
2007M12,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2007M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",9
2007M12,Other service activities,"Bankruptcies instigated, number of enterprises",36
2007M12,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2008M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2008M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",37
2008M01,Construction,"Bankruptcies instigated, number of enterprises",54
2008M01,Trade,"Bankruptcies instigated, number of enterprises",52
2008M01,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2008M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2008M01,Other service activities,"Bankruptcies instigated, number of enterprises",68
2008M01,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2008M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2008M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2008M02,Construction,"Bankruptcies instigated, number of enterprises",62
2008M02,Trade,"Bankruptcies instigated, number of enterprises",46
2008M02,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2008M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2008M02,Other service activities,"Bankruptcies instigated, number of enterprises",61
2008M02,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2008M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2008M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2008M03,Construction,"Bankruptcies instigated, number of enterprises",47
2008M03,Trade,"Bankruptcies instigated, number of enterprises",31
2008M03,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2008M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2008M03,Other service activities,"Bankruptcies instigated, number of enterprises",45
2008M03,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2008M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2008M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2008M04,Construction,"Bankruptcies instigated, number of enterprises",57
2008M04,Trade,"Bankruptcies instigated, number of enterprises",39
2008M04,Transport and storage,"Bankruptcies instigated, number of enterprises",27
2008M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2008M04,Other service activities,"Bankruptcies instigated, number of enterprises",56
2008M04,Industry unknown,"Bankruptcies instigated, number of enterprises",9
2008M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2008M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2008M05,Construction,"Bankruptcies instigated, number of enterprises",49
2008M05,Trade,"Bankruptcies instigated, number of enterprises",35
2008M05,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2008M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",9
2008M05,Other service activities,"Bankruptcies instigated, number of enterprises",56
2008M05,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2008M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2008M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2008M06,Construction,"Bankruptcies instigated, number of enterprises",44
2008M06,Trade,"Bankruptcies instigated, number of enterprises",19
2008M06,Transport and storage,"Bankruptcies instigated, number of enterprises",9
2008M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",10
2008M06,Other service activities,"Bankruptcies instigated, number of enterprises",49
2008M06,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2008M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2008M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",16
2008M07,Construction,"Bankruptcies instigated, number of enterprises",38
2008M07,Trade,"Bankruptcies instigated, number of enterprises",37
2008M07,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2008M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2008M07,Other service activities,"Bankruptcies instigated, number of enterprises",42
